Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
2694,A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) in Hormone Resistant Prostate Cancer With Bone Metastases,Completed,Has Results,Prostate Cancer,Drug: ZD4054|Drug: Placebo,AstraZeneca,Phase 3,Industry,Interventional,31-May-12,https://ClinicalTrials.gov/show/NCT00554229
2695,Study to Evaluate Efficacy and Safety of Certolizumab Pegol for Induction of Remission in Patients With Crohn's Disease,Completed,Has Results,Crohn Disease,"Biological: certolizumab pegol (CDP870, CZP)|Other: Placebo",UCB Pharma,Phase 3,Industry,Interventional,30-Dec-10,https://ClinicalTrials.gov/show/NCT00552058
2696,Surgical Pain After Inguinal Hernia Repair (SPAIHR),Completed,Has Results,"Pain, Postoperative|Hernia, Inguinal",Drug: Pregabalin|Drug: placebo,Pfizer,Phase 3,Industry,Interventional,15-Jul-10,https://ClinicalTrials.gov/show/NCT00551135
2697,A Study of the Safety and Tolerability of Pimavanserin (ACP-103) in Patients With Parkinson's Disease Psychosis,Completed,Has Results,Parkinson's Disease Psychosis,Drug: Pimavanserin tartrate (ACP-103),ACADIA Pharmaceuticals Inc.,Phase 3,Industry,Interventional,24-Jun-19,https://ClinicalTrials.gov/show/NCT00550238
2698,A Study to Evaluate the Safety and Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Has Results,Seasonal Allergic Rhinitis,Drug: MP29-02|Drug: azelastine Hcl|Drug: fluticasone propionate|Drug: placebo,Meda Pharmaceuticals,Phase 3,Industry,Interventional,23-Jul-12,https://ClinicalTrials.gov/show/NCT00660517
2699,Lurasidone HCl: A Phase 3 Study of Patients With Acute Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Lurasidone HCl,Sunovion,Phase 3,Industry,Interventional,14-Dec-10,https://ClinicalTrials.gov/show/NCT00549718
2700,Celebrex In Acute Gouty Arthritis Study,Completed,Has Results,"Arthritis, Gouty",Drug: Indomethacin|Drug: Celecoxib,Pfizer,Phase 3,Industry,Interventional,24-Feb-11,https://ClinicalTrials.gov/show/NCT00549549
2701,AtriCure Bipolar Radiofrequency Ablation of Permanent Atrial Fibrillation,Completed,Has Results,Atrial Fibrillation,Device: AtriCure Bipolar System,"AtriCure, Inc.",Phase 3,Industry,Interventional,14-Mar-13,https://ClinicalTrials.gov/show/NCT00560885
2702,VEC-162 Study in Adult Patients With Primary Insomnia,Completed,Has Results,Primary Insomnia,Drug: VEC-162 20 mg|Drug: Placebo|Drug: VEC-162 50 mg,Vanda Pharmaceuticals,Phase 3,Industry,Interventional,15-Oct-14,https://ClinicalTrials.gov/show/NCT00548340
2703,Phase IIIB Subcutaneous Abatacept Monotherapy Study,Completed,Has Results,Rheumatoid Arthritis (RA),Drug: abatacept|Drug: Methotrexate (MTX),Bristol-Myers Squibb,Phase 3,Industry,Interventional,24-Jan-11,https://ClinicalTrials.gov/show/NCT00547521
2704,Safety of Intravenous Lacosamide Dose Followed by Twice Daily Oral Lacosamide in Subjects With Partial-onset Seizures,Completed,Has Results,Partial Epilepsies|Partial Onset Seizures,Drug: lacosamide,"UCB BIOSCIENCES, Inc.|UCB Pharma",Phase 3,Industry,Interventional,20-Oct-10,https://ClinicalTrials.gov/show/NCT00655551
2705,Study to Assess the Long-term Safety of Oral Lacosamide in Subjects With Partial-onset Seizures,Completed,Has Results,Partial Epilepsies|Partial Onset Seizures,Drug: lacosamide,"UCB BIOSCIENCES, Inc.|UCB Pharma",Phase 3,Industry,Interventional,15-Jul-11,https://ClinicalTrials.gov/show/NCT00655486
2706,"Fesoterodine ""add-on"" Male Overactive Bladder Study",Completed,Has Results,Overactive Bladder Syndrome,Drug: Fesoterodine|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,22-Nov-10,https://ClinicalTrials.gov/show/NCT00546637
2707,"Study Evaluating The Safety, Tolerability And Immunogenicity Of A 13-Valent Pneumococcal Conjugate Vaccine (13vPnC)",Completed,Has Results,Pneumococcal Infections,Biological: 13 valent Pneumococcal Conjugate Vaccine|Biological: 23vPS,Wyeth is now a wholly owned subsidiary of Pfizer,Phase 3,Industry,Interventional,30-May-11,https://ClinicalTrials.gov/show/NCT00546572
2708,Prevention of Recurrence of Diverticulitis,Completed,Has Results,Diverticulitis,Drug: SPD476 (1.2g)|Drug: SPD476 (2.4 g)|Drug: SPD476 (4.8 g)|Drug: Placebo,Shire,Phase 3,Industry,Interventional,25-Jan-13,https://ClinicalTrials.gov/show/NCT00545740
2709,A Study of Oseltamivir (Tamiflu) for Treatment of Influenza in Immunocompromised Participants.,Completed,Has Results,"Influenza, Human",Drug: oseltamivir|Other: placebo,Hoffmann-La Roche,Phase 3,Industry,Interventional,12-Jul-18,https://ClinicalTrials.gov/show/NCT00545532
2710,Prevention of Recurrence of Diverticulitis,Completed,Has Results,Diverticulitis,"Drug: SPD476, MMX™ mesalazine, 1.2g extended release tablet|Drug: Placebo",Shire,Phase 3,Industry,Interventional,19-Dec-12,https://ClinicalTrials.gov/show/NCT00545103
2711,TMC278-TiDP6-C215: A Clinical Trial in Treatment Naive HIV-subjects Patients Comparing TMC278 to Efavirenz in Combination With 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors,Completed,Has Results,HIV Infections|HIV-1,Drug: TMC278|Drug: efavirenz,"Tibotec Pharmaceuticals, Ireland",Phase 3,Industry,Interventional,12-Jul-11,https://ClinicalTrials.gov/show/NCT00543725
2712,Effects of Two Dosing Regimens of Bosentan in Children With Pulmonary Arterial Hypertension,Completed,Has Results,Pulmonary Arterial Hypertension,Drug: bosentan,Actelion,Phase 3,Industry,Interventional,29-Jun-17,https://ClinicalTrials.gov/show/NCT01223352
2713,Safety and Efficacy Study of Isolagen TherapyTM in the Treatment of Nasolabial Fold Wrinkles,Completed,Has Results,Bilateral Nasolabial Fold Wrinkles,Biological: Autologous Human Fibroblast (azficel-T)|Biological: Placebo,"Fibrocell Technologies, Inc.",Phase 3,Industry,Interventional,13-Mar-12,https://ClinicalTrials.gov/show/NCT00649428
2714,A Study of a 35 mg Delayed Release Formulation of Risedronate for Osteoporosis,Completed,Has Results,Postmenopausal Osteoporosis,Drug: risedronate,Warner Chilcott,Phase 3,Industry,Interventional,21-Jun-11,https://ClinicalTrials.gov/show/NCT00541658
2715,Albumin-bound Paclitaxel (ABI-007) for Patients With Advanced Non-Small Cell Lung Cancer,Completed,Has Results,Non-Small Cell Lung Carcinoma,Drug: Albumin-bound paclitaxel|Drug: Paclitaxel|Drug: Carboplatin,Celgene,Phase 3,Industry,Interventional,19-Aug-13,https://ClinicalTrials.gov/show/NCT00540514
2716,TMC278-TiDP6-C209: A Clinical Trial in Treatment Naive HIV-1 Patients Comparing TMC278 to Efavirenz in Combination With Tenofovir + Emtricitabine.,Completed,Has Results,HIV Infections|HIV-1|Human Immunodeficiency Virus Type 1,Drug: TMC278|Drug: Efavirenz,"Tibotec Pharmaceuticals, Ireland",Phase 3,Industry,Interventional,11-Jul-11,https://ClinicalTrials.gov/show/NCT00540449
2717,"Open Label, Phase III Study of NABI-IGIV 10% [Immune Globulin Intravenous(Human), 10%] In Subjects With Primary Immune Deficiency Disorders (PIDD)",Completed,Has Results,Primary Immune Deficiency Disorders (PIDD),Biological: Nabi-IGIV 10% [Immune Globulin Intravenous (Human). 10%],Biotest Pharmaceuticals Corporation,Phase 3,Industry,Interventional,26-Mar-12,https://ClinicalTrials.gov/show/NCT00538915
2718,Long-term Safety and Efficacy Study of Fentanyl Sublingual Spray for the Treatment of Breakthrough Cancer Pain,Completed,Has Results,Cancer|Pain,Drug: Fentanyl sublingual spray,INSYS Therapeutics Inc,Phase 3,Industry,Interventional,11-Oct-13,https://ClinicalTrials.gov/show/NCT00538863
2719,Effectiveness of dermaPACE™ Device and Standard Treatment Compared to Standard Treatment Alone for Diabetic Foot Ulcers,Completed,Has Results,Diabetic Foot Ulcers,Device: acoustical pulse energy (extracorporeal shockwave)|Other: Sham,"SANUWAVE, Inc.",Phase 3,Industry,Interventional,14-Apr-14,https://ClinicalTrials.gov/show/NCT00536744
2720,Fesoterodine Flexible Dose Study,Completed,Has Results,Overactive Bladder,Drug: Fesoterodine|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,11-Sep-09,https://ClinicalTrials.gov/show/NCT00536484
2721,A Study of the Effect of Tocilizumab on Markers of Atherogenic Risk in Patients With Moderate to Severe Rheumatoid Arthritis,Completed,Has Results,Rheumatoid Arthritis,Drug: Tocilizumab|Drug: Placebo|Drug: Methotrexate,Hoffmann-La Roche,Phase 3,Industry,Interventional,14-Nov-12,https://ClinicalTrials.gov/show/NCT00535782
2722,Generalized Anxiety Disorder Adjunct Study,Completed,Has Results,Anxiety|Anxiety Disorders|Anxiety Neuroses|Anxiety States,Drug: Placebo|Drug: quetiapine fumarate XR,AstraZeneca,Phase 3,Industry,Interventional,5-Apr-11,https://ClinicalTrials.gov/show/NCT00534599
2723,Phase IIIB Subcutaneous Missed Dose Study,Completed,Has Results,Rheumatoid Arthritis,Drug: Abatacept|Drug: Placebo,Bristol-Myers Squibb,Phase 3,Industry,Interventional,3-Jun-11,https://ClinicalTrials.gov/show/NCT00533897
2724,A Study of the Safety and Efficacy of Two Doses of Naltrexone SR/Bupropion SR and Placebo in Overweight and Obese Subjects,Completed,Has Results,Obesity|Overweight,Drug: Naltrexone SR 16 mg/Bupropion SR 360 mg /day|Drug: Naltrexone SR 32 mg/Bupropion SR 360 mg /day|Drug: Placebo|Behavioral: Ancillary therapy,"Orexigen Therapeutics, Inc",Phase 3,Industry,Interventional,21-Nov-14,https://ClinicalTrials.gov/show/NCT00532779
2725,A Study of Tocilizumab in Combination With DMARDs in Patients With Moderate to Severe Rheumatoid Arthritis,Completed,Has Results,Rheumatoid Arthritis,Drug: Tocilizumab|Drug: Placebo|Drug: Permitted DMARDs,Hoffmann-La Roche,Phase 3,Industry,Interventional,4-Aug-10,https://ClinicalTrials.gov/show/NCT00531817
2726,Anidulafungin Plus Voriconazole Versus Voriconazole For The Treatment Of Invasive Aspergillosis,Completed,Has Results,Aspergillosis,Drug: voriconazole|Drug: anidulafungin,Pfizer,Phase 3,Industry,Interventional,30-Apr-12,https://ClinicalTrials.gov/show/NCT00531479
2727,Buprenorphine Transdermal System (BTDS) in Subjects w/Mod-sev Osteoarthritis (OA) Chronic Pain of Knee,Completed,Has Results,Chronic Pain|Osteoarthritis of the Knee,Drug: Buprenorphine|Drug: Placebo,Purdue Pharma LP,Phase 3,Industry,Interventional,21-Sep-10,https://ClinicalTrials.gov/show/NCT00531427
2728,Trial to Assess Long-term Lacosamide (LCM) Monotherapy Use and Safety of LCM Monotherapy and Adjunctive Therapy for Partial-onset Seizures,Completed,Has Results,Epilepsy,Drug: Lacosamide,UCB Pharma,Phase 3,Industry,Interventional,3-Jun-15,https://ClinicalTrials.gov/show/NCT00530855
2729,Eltrombopag To Initiate And Maintain Interferon Antiviral Treatment To Benefit Subjects With Hepatitis C Liver Disease,Completed,Has Results,"Hepatitis C, Chronic",Drug: eltrombopag|Drug: placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,17-May-12,https://ClinicalTrials.gov/show/NCT00529568
2730,Safety of Indacaterol in Patients (≥ 12 Years) With Moderate to Severe Persistent Asthma,Completed,Has Results,Asthma,Drug: Indacaterol 300 μg|Drug: Salmeterol 50 μg|Drug: Placebo to indacaterol|Drug: Placebo to salmeterol,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,19-Aug-11,https://ClinicalTrials.gov/show/NCT00529529
2731,BEATRICE Study: A Study of Bevacizumab (Avastin) Adjuvant Therapy in Triple Negative Breast Cancer,Completed,Has Results,Breast Cancer,Drug: Bevacizumab|Drug: Standard adjuvant chemotherapy,Hoffmann-La Roche,Phase 3,Industry,Interventional,10-Sep-13,https://ClinicalTrials.gov/show/NCT00528567
2732,Levonorgestrel Contraceptive Intrauterine Systems (LCS) Pearl Index Study,Completed,Has Results,Contraception,Drug: LCS12|Drug: LCS16,Bayer,Phase 3,Industry,Interventional,24-Sep-12,https://ClinicalTrials.gov/show/NCT00528112
2733,"AA4500 (XIAFLEX™, Proposed Name) in the Treatment of Dupuytren's Contracture",Completed,Has Results,Dupuytren's Contracture,Biological: collagenase clostridium histolyticum|Biological: Placebo,Endo Pharmaceuticals,Phase 3,Industry,Interventional,22-Oct-10,https://ClinicalTrials.gov/show/NCT00528606
2734,"AA4500 (XIAFLEX™, Proposed Name) in the Treatment of Advanced Dupuytren's Disease",Completed,Has Results,Advanced Dupuytren's Disease,Biological: AA4500,Endo Pharmaceuticals,Phase 3,Industry,Interventional,22-Oct-10,https://ClinicalTrials.gov/show/NCT00528424
2735,"Safety and Efficacy Study of AA4500 (XIAFLEX™, Proposed Name) in the Treatment of Advanced Dupuytren's Disease",Completed,Has Results,Advanced Dupuytren's Disease,Biological: collagenase clostridium histolyticum,Endo Pharmaceuticals,Phase 3,Industry,Interventional,22-Oct-10,https://ClinicalTrials.gov/show/NCT00528840
2736,Blood Pressure Lowering Ability and Safety of an Olmesartan and Amlodipine Based Treatment Regimen in Patients With Stage I and Stage II Hypertension,Completed,Has Results,Hypertension,Drug: Amlodipine|Drug: Olmesartan medoxomil plus amlodipine,"Daiichi Sankyo, Inc.",Phase 3,Industry,Interventional,23-Sep-09,https://ClinicalTrials.gov/show/NCT00527514
2737,A Study to Compare Effectiveness and Safety of Darunavir/Ritonavir (DRV/Rtv) 800mg/100mg Once Daily Versus DRV/Rtv 600mg/100mg Twice Daily in Early Treatment-Experienced HIV-1 Infected Patients (ODIN),Completed,Has Results,Human Immunodeficiency Virus - Type 1,Drug: Darunavir (DRV)|Drug: Ritonavir (rtv),"Tibotec Pharmaceuticals, Ireland",Phase 3,Industry,Interventional,22-Sep-10,https://ClinicalTrials.gov/show/NCT00524368
2738,Efficacy and Safety of RAD001 in Patients Aged 18 and Over With Angiomyolipoma Associated With Either Tuberous Sclerosis Complex (TSC) or Sporadic Lymphangioleiomyomatosis (LAM),Completed,Has Results,Tuberous Sclerosis Complex (TSC)|Lymphangioleiomyomatosis (LAM),Drug: Everolimus (RAD001)|Drug: Everolimus Placebo,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,28-Aug-12,https://ClinicalTrials.gov/show/NCT00790400
2739,Periocline as an Adjunct to Scaling and Root Planing for Adult Periodontitis,Completed,Has Results,Adult Periodontitis,Drug: minocycline HCl 2.1%|Procedure: Scaling and root planing,Sunstar Americas,Phase 3,Industry,Interventional,9-May-14,https://ClinicalTrials.gov/show/NCT00529555
2740,Long-Term Safety Follow-up Study of Cysteamine Bitartrate Delayed-release Capsules (RP103),Completed,Has Results,Cystinosis,Drug: Cysteamine Bitartrate Delayed-release Capsules,"Horizon Pharma USA, Inc.",Phase 3,Industry,Interventional,24-Jul-18,https://ClinicalTrials.gov/show/NCT01197378
2741,Endometrial Safety Study,Completed,Has Results,Postmenopause,Drug: 0.25mg DRSP / 0.5mg E2 (BAY86-4891)|Drug: 0.5mg NETA / 1.0mg E2 (Activella),"Bayer|Laboratorium für Klinische Forschung|Diagnostic Cytology Laboratory|University of California, San Francisco",Phase 3,Industry|Other,Interventional,28-Jun-12,https://ClinicalTrials.gov/show/NCT00522873
2742,Trial to Assess Parkinson's Disease (PD) Symptom Control to Four Doses of Rotigotine in a Transdermal Patch,Completed,Has Results,Parkinson's Disease,Drug: Rotigotine|Other: Placebo,UCB Pharma,Phase 3,Industry,Interventional,10-Dec-12,https://ClinicalTrials.gov/show/NCT00522379
2743,Determine Safety and Efficacy of Long-term Oral Lacosamide in Patients With Partial Seizures,Completed,Has Results,Partial Epilepsies,Drug: lacosamide,"UCB BIOSCIENCES, Inc.|UCB Pharma",Phase 3,Industry,Interventional,22-Nov-10,https://ClinicalTrials.gov/show/NCT00522275
2744,A Crossover Study to Determine the 24 Hour Lung Function Profile of Indacaterol in Patients With Moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: Indacaterol 300 μg|Drug: Placebo to indacaterol|Drug: Salmeterol 50 μg,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,18-Aug-11,https://ClinicalTrials.gov/show/NCT00622635
2745,Study Evaluating 13 Valent Pneumococcal Conjugate Vaccine With Trivalent Inactivated Influenza Vaccine,Completed,Has Results,Influenza,Biological: 13 valent pneumococcal conjugate vaccine,Pfizer,Phase 3,Industry,Interventional,9-Apr-15,https://ClinicalTrials.gov/show/NCT00521586
2746,Trial to Demonstrate the Efficacy and Safety of Conversion to Lacosamide Monotherapy for Partial-onset Seizures,Completed,Has Results,Epilepsy,Drug: Lacosamide,"UCB BIOSCIENCES, Inc.|UCB Pharma",Phase 3,Industry,Interventional,23-Apr-14,https://ClinicalTrials.gov/show/NCT00520741
2747,Effect of Liraglutide or Exenatide Added to an Ongoing Treatment on Blood Glucose Control in Subjects With Type 2 Diabetes,Completed,Has Results,"Diabetes|Diabetes Mellitus, Type 2",Drug: liraglutide|Drug: exenatide,Novo Nordisk A/S,Phase 3,Industry,Interventional,23-Mar-10,https://ClinicalTrials.gov/show/NCT00518882
2748,Clobazam in Patients With Lennox-Gastaut Syndrome,Completed,Has Results,"Epilepsy|Epilepsy, Generalized|Seizures",Drug: Clobazam Low Dose|Drug: Clobazam Medium Dose|Drug: Clobazam High Dose|Drug: Placebo,Lundbeck LLC,Phase 3,Industry,Interventional,9-Feb-12,https://ClinicalTrials.gov/show/NCT00518713
2749,Evaluate Safety & Immunogenicity of GSK Bio's Influenza Vaccine GSK576389A After Repeated Vaccination in Elderly Adults,Completed,Has Results,Influenza,Biological: Fluarix|Biological: GSK Biologicals Influenza Vaccine GSK576389A,GlaxoSmithKline,Phase 3,Industry,Interventional,30-May-12,https://ClinicalTrials.gov/show/NCT00529516
2750,Eltrombopag To Initiate And Maintain Interferon Antiviral Treatment To Subjects With Hepatitis C Related Liver Disease,Completed,Has Results,"Hepatitis C, Chronic",Drug: eltrombopag|Drug: placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,30-Jul-12,https://ClinicalTrials.gov/show/NCT00516321
2751,Lamotrigine Extended-Release In Elderly Patients With Epilepsy,Completed,Has Results,Epilepsy,Drug: Lamotrigine,GlaxoSmithKline,Phase 3,Industry,Interventional,13-Jan-12,https://ClinicalTrials.gov/show/NCT00516139
2752,Tailored Treatment of Permanent Atrial Fibrillation,Completed,Has Results,Atrial Fibrillation,Procedure: Medtronic Cardiac Ablation System|Drug: Class I or III Antiarrhythmic Medications,Medtronic Cardiac Rhythm and Heart Failure,Phase 3,Industry,Interventional,9-May-12,https://ClinicalTrials.gov/show/NCT00514735
